dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
cadets,minus_consistency_regularization,11,0.0,0.808675,1.0,,,,
cadets,minus_consistency_regularization,22,0.0614035087719298,0.6900250000000001,1.0,0.0,0.9531802058219908,1.0,0.0206961520000277
cadets,minus_consistency_regularization,33,0.0185185185185185,0.845425,1.0,0.0,0.9940298557281494,1.0,0.0132474350000393
cadets,minus_consistency_regularization,44,0.0220472440944881,0.5316000000000001,1.0,0.0,0.9547200560569764,0.9999987483024596,0.0336096585001541
cadets,minus_consistency_regularization,55,0.1157024793388429,0.6433,1.0,0.0022572712041437,0.8933729529380798,1.0,0.0172839550000389
cadets,minus_consistency_regularization,66,0.1875,0.313775,1.0,5.6601405958645046e-05,0.9751923084259032,0.9999918937683104,0.0130819964999773
cadets,minus_consistency_regularization,77,0.0,0.1403749999999999,1.0,0.001654639840126,1.0,0.9993579387664796,0.0118305539997436
cadets,minus_consistency_regularization,88,0.2,0.6551,1.0,3.2548636227147654e-05,0.8973819136619567,1.0,0.0117054595002628
cadets,minus_consistency_regularization,99,0.0897435897435897,0.4503999999999999,1.0,0.0016684890724718,0.9821165919303894,1.0,0.0240282915001444
cadets,minus_consistency_regularization,110,0.4761904761904761,0.7838249999999999,1.0,1.5750527381896973e-05,0.7781291246414185,1.0,0.0103290849997392
cadets,minus_prototype_learning,11,0.0,0.46785,1.0,0.0,1.0,1.0,0.0114200180000807
cadets,minus_prototype_learning,22,0.0614035087719298,0.6899500000000001,1.0,0.0,0.9496447086334228,1.0,0.0235157289998824
cadets,minus_prototype_learning,33,0.0238095238095238,0.845525,1.0,0.0,0.97204270362854,1.0,0.0146782550000352
cadets,minus_prototype_learning,44,0.0220472440944881,0.531575,1.0,0.0,0.9530039668083192,0.9999979734420776,0.0281942530000378
cadets,minus_prototype_learning,55,0.1037037037037037,0.64385,1.0,0.0017660285811871,0.9065248131752014,1.0,0.0171383980000427
cadets,minus_prototype_learning,66,0.1875,0.308575,1.0,2.270100412715692e-05,0.9751923084259032,1.0,0.0122456515002795
cadets,minus_prototype_learning,77,0.0,0.1412,1.0,0.001676395535469,1.0,0.99944007396698,0.0090138919999844
cadets,minus_prototype_learning,88,0.2,0.65475,1.0,2.8277343517402187e-05,0.8796155691146851,1.0,0.0073211945000366
cadets,minus_prototype_learning,99,0.0933333333333333,0.451325,1.0,0.0019449195824563,0.9867019891738892,0.9999983906745912,0.0095947974996306
cadets,minus_prototype_learning,110,0.4761904761904761,0.7834749999999999,1.0,1.060749764292268e-05,0.808432149887085,1.0,0.0055758189996595
cadets,minus_temporal_attention,11,0.0,0.46815,1.0,0.0,1.0,1.0,0.0046259994996944
cadets,minus_temporal_attention,22,0.0614035087719298,0.6897,1.0,0.0,0.9446288585662842,1.0,0.0131821680001849
cadets,minus_temporal_attention,33,0.0248447204968944,0.8452999999999999,1.0,0.0,0.9702741265296936,1.0,0.0091645870002139
cadets,minus_temporal_attention,44,0.0220472440944881,0.53125,1.0,0.0,0.9580929160118103,0.9999974966049194,0.0148083945000507
cadets,minus_temporal_attention,55,0.1085271317829457,0.643325,1.0,0.0018190416740253,0.9023759961128236,1.0,0.0090961189998779
cadets,minus_temporal_attention,66,0.1875,0.3101875,1.0,4.13332054449711e-05,0.975,1.0,0.0081283604999953
cadets,minus_temporal_attention,77,0.0,0.14015,1.0,0.002443979261443,1.0,0.9996337890625,0.0051805145003527
cadets,minus_temporal_attention,88,0.2,0.6542125,1.0,2.8218863008078188e-05,0.8858556628227234,1.0,0.0081356744999538
cadets,minus_temporal_attention,99,0.0939597315436241,0.4512375,1.0,0.0019934037700295,0.9866129636764528,1.0,0.0112762580001799
cadets,minus_temporal_attention,110,0.4761904761904761,0.783125,1.0,1.037333731801482e-05,0.7939393997192383,1.0,0.0053201554997031
cadets,minus_gating_mechanism,11,0.0,0.4361,1.0,0.0,1.0,1.0,0.0051166829998692
cadets,minus_gating_mechanism,22,0.0625,0.7797,1.0,0.0,0.8966639518737793,1.0,0.0105482029998711
cadets,minus_gating_mechanism,33,0.0234505862646566,0.865525,1.0,0.0,0.9682760119438172,1.0,0.013249257499865
cadets,minus_gating_mechanism,44,0.0220472440944881,0.495325,1.0,0.0,0.9495861649513244,0.999973475933075,0.0143153109997911
cadets,minus_gating_mechanism,55,0.0945945945945946,0.6631,1.0,0.004167784936726,0.8823069334030151,1.0,0.0086617165006828
cadets,minus_gating_mechanism,66,0.2264150943396226,0.1492,1.0,0.0,0.992452836036682,0.9996564984321594,0.0118693565000285
cadets,minus_gating_mechanism,77,0.0,0.15095,1.0,0.0001229835761478,1.0,0.9999881386756896,0.0158046034998733
cadets,minus_gating_mechanism,88,0.3428571428571428,0.835625,1.0,3.644398384494707e-05,0.7926200270652771,1.0,0.0100557870005104
cadets,minus_gating_mechanism,99,0.0149253731343283,0.3898,1.0,0.0086314603686332,0.9962962985038756,0.9999598860740662,0.0144277314993814
cadets,minus_gating_mechanism,110,0.0235690235690235,0.67665,1.0,0.0,0.9699378371238708,0.999997615814209,0.0231051895002565
